date,kickoff_utc,home_team,away_team,home_score,away_score,tournament,city,country,neutral,status,stage,matchday,match_id
2026-06-11,2026-06-11T19:00:00Z,Mexico,South Africa,2.0,0.0,FIFA World Cup,,USA/Mexico/Canada,True,FINISHED,GROUP_STAGE,1.0,537327
2026-06-12,2026-06-12T02:00:00Z,South Korea,Czechia,2.0,1.0,FIFA World Cup,,USA/Mexico/Canada,True,FINISHED,GROUP_STAGE,1.0,537328
2026-06-12,2026-06-12T19:00:00Z,Canada,Bosnia-Herzegovina,1.0,1.0,FIFA World Cup,,USA/Mexico/Canada,True,FINISHED,GROUP_STAGE,1.0,537333
2026-06-13,2026-06-13T01:00:00Z,United States,Paraguay,4.0,1.0,FIFA World Cup,,USA/Mexico/Canada,True,FINISHED,GROUP_STAGE,1.0,537345
2026-06-13,2026-06-13T19:00:00Z,Qatar,Switzerland,1.0,1.0,FIFA World Cup,,USA/Mexico/Canada,True,FINISHED,GROUP_STAGE,1.0,537334
2026-06-13,2026-06-13T22:00:00Z,Brazil,Morocco,1.0,1.0,FIFA World Cup,,USA/Mexico/Canada,True,FINISHED,GROUP_STAGE,1.0,537339
2026-06-14,2026-06-14T01:00:00Z,Haiti,Scotland,0.0,1.0,FIFA World Cup,,USA/Mexico/Canada,True,FINISHED,GROUP_STAGE,1.0,537340
2026-06-14,2026-06-14T04:00:00Z,Australia,Turkey,2.0,0.0,FIFA World Cup,,USA/Mexico/Canada,True,FINISHED,GROUP_STAGE,1.0,537346
2026-06-14,2026-06-14T17:00:00Z,Germany,Curaçao,7.0,1.0,FIFA World Cup,,USA/Mexico/Canada,True,FINISHED,GROUP_STAGE,1.0,537351
2026-06-14,2026-06-14T20:00:00Z,Netherlands,Japan,2.0,2.0,FIFA World Cup,,USA/Mexico/Canada,True,FINISHED,GROUP_STAGE,1.0,537357
2026-06-14,2026-06-14T23:00:00Z,Ivory Coast,Ecuador,1.0,0.0,FIFA World Cup,,USA/Mexico/Canada,True,FINISHED,GROUP_STAGE,1.0,537352
2026-06-15,2026-06-15T22:00:00Z,Saudi Arabia,Uruguay,1.0,1.0,FIFA World Cup,,USA/Mexico/Canada,True,FINISHED,GROUP_STAGE,1.0,537370
2026-06-15,2026-06-15T19:00:00Z,Belgium,Egypt,1.0,1.0,FIFA World Cup,,USA/Mexico/Canada,True,FINISHED,GROUP_STAGE,1.0,537363
2026-06-15,2026-06-15T16:00:00Z,Spain,Cape Verde Islands,0.0,0.0,FIFA World Cup,,USA/Mexico/Canada,True,FINISHED,GROUP_STAGE,1.0,537369
2026-06-15,2026-06-15T02:00:00Z,Sweden,Tunisia,5.0,1.0,FIFA World Cup,,USA/Mexico/Canada,True,FINISHED,GROUP_STAGE,1.0,537358
2026-06-16,2026-06-16T01:00:00Z,Iran,New Zealand,2.0,2.0,FIFA World Cup,,USA/Mexico/Canada,True,FINISHED,GROUP_STAGE,1.0,537364
2026-06-16,2026-06-16T19:00:00Z,France,Senegal,3.0,1.0,FIFA World Cup,,USA/Mexico/Canada,True,FINISHED,GROUP_STAGE,1.0,537391
2026-06-16,2026-06-16T22:00:00Z,Iraq,Norway,1.0,4.0,FIFA World Cup,,USA/Mexico/Canada,True,FINISHED,GROUP_STAGE,1.0,537392
2026-06-17,2026-06-17T01:00:00Z,Argentina,Algeria,3.0,0.0,FIFA World Cup,,USA/Mexico/Canada,True,FINISHED,GROUP_STAGE,1.0,537397
2026-06-17,2026-06-17T04:00:00Z,Austria,Jordan,3.0,1.0,FIFA World Cup,,USA/Mexico/Canada,True,FINISHED,GROUP_STAGE,1.0,537398
2026-06-17,2026-06-17T17:00:00Z,Portugal,Congo DR,1.0,1.0,FIFA World Cup,,USA/Mexico/Canada,True,FINISHED,GROUP_STAGE,1.0,537403
2026-06-17,2026-06-17T20:00:00Z,England,Croatia,4.0,2.0,FIFA World Cup,,USA/Mexico/Canada,True,FINISHED,GROUP_STAGE,1.0,537409
2026-06-17,2026-06-17T23:00:00Z,Ghana,Panama,1.0,0.0,FIFA World Cup,,USA/Mexico/Canada,True,FINISHED,GROUP_STAGE,1.0,537410
2026-06-18,2026-06-18T22:00:00Z,Canada,Qatar,6.0,0.0,FIFA World Cup,,USA/Mexico/Canada,True,FINISHED,GROUP_STAGE,2.0,537336
2026-06-18,2026-06-18T19:00:00Z,Switzerland,Bosnia-Herzegovina,4.0,1.0,FIFA World Cup,,USA/Mexico/Canada,True,FINISHED,GROUP_STAGE,2.0,537335
2026-06-18,2026-06-18T16:00:00Z,Czechia,South Africa,1.0,1.0,FIFA World Cup,,USA/Mexico/Canada,True,FINISHED,GROUP_STAGE,2.0,537329
2026-06-18,2026-06-18T02:00:00Z,Uzbekistan,Colombia,1.0,3.0,FIFA World Cup,,USA/Mexico/Canada,True,FINISHED,GROUP_STAGE,1.0,537404
2026-06-19,2026-06-19T01:00:00Z,Mexico,South Korea,1.0,0.0,FIFA World Cup,,USA/Mexico/Canada,True,FINISHED,GROUP_STAGE,2.0,537330
2026-06-19,2026-06-19T19:00:00Z,United States,Australia,2.0,0.0,FIFA World Cup,,USA/Mexico/Canada,True,FINISHED,GROUP_STAGE,2.0,537348
2026-06-19,2026-06-19T22:00:00Z,Scotland,Morocco,0.0,1.0,FIFA World Cup,,USA/Mexico/Canada,True,FINISHED,GROUP_STAGE,2.0,537342
2026-06-20,2026-06-20T00:30:00Z,Brazil,Haiti,3.0,0.0,FIFA World Cup,,USA/Mexico/Canada,True,FINISHED,GROUP_STAGE,2.0,537341
2026-06-20,2026-06-20T03:00:00Z,Turkey,Paraguay,0.0,1.0,FIFA World Cup,,USA/Mexico/Canada,True,FINISHED,GROUP_STAGE,2.0,537347
2026-06-20,2026-06-20T17:00:00Z,Netherlands,Sweden,5.0,1.0,FIFA World Cup,,USA/Mexico/Canada,True,FINISHED,GROUP_STAGE,2.0,537359
2026-06-20,2026-06-20T20:00:00Z,Germany,Ivory Coast,2.0,1.0,FIFA World Cup,,USA/Mexico/Canada,True,FINISHED,GROUP_STAGE,2.0,537353
2026-06-21,2026-06-21T22:00:00Z,Uruguay,Cape Verde Islands,,,FIFA World Cup,,USA/Mexico/Canada,True,IN_PLAY,GROUP_STAGE,2.0,537372
2026-06-21,2026-06-21T16:00:00Z,Spain,Saudi Arabia,4.0,0.0,FIFA World Cup,,USA/Mexico/Canada,True,FINISHED,GROUP_STAGE,2.0,537371
2026-06-21,2026-06-21T19:00:00Z,Belgium,Iran,0.0,0.0,FIFA World Cup,,USA/Mexico/Canada,True,FINISHED,GROUP_STAGE,2.0,537365
2026-06-21,2026-06-21T00:00:00Z,Ecuador,Curaçao,0.0,0.0,FIFA World Cup,,USA/Mexico/Canada,True,FINISHED,GROUP_STAGE,2.0,537354
2026-06-21,2026-06-21T04:00:00Z,Tunisia,Japan,0.0,4.0,FIFA World Cup,,USA/Mexico/Canada,True,FINISHED,GROUP_STAGE,2.0,537360
2026-06-22,2026-06-22T01:00:00Z,New Zealand,Egypt,,,FIFA World Cup,,USA/Mexico/Canada,True,TIMED,GROUP_STAGE,2.0,537366
2026-06-22,2026-06-22T17:00:00Z,Argentina,Austria,,,FIFA World Cup,,USA/Mexico/Canada,True,TIMED,GROUP_STAGE,2.0,537399
2026-06-22,2026-06-22T21:00:00Z,France,Iraq,,,FIFA World Cup,,USA/Mexico/Canada,True,TIMED,GROUP_STAGE,2.0,537393
2026-06-23,2026-06-23T00:00:00Z,Norway,Senegal,,,FIFA World Cup,,USA/Mexico/Canada,True,TIMED,GROUP_STAGE,2.0,537394
2026-06-23,2026-06-23T03:00:00Z,Jordan,Algeria,,,FIFA World Cup,,USA/Mexico/Canada,True,TIMED,GROUP_STAGE,2.0,537400
2026-06-23,2026-06-23T17:00:00Z,Portugal,Uzbekistan,,,FIFA World Cup,,USA/Mexico/Canada,True,TIMED,GROUP_STAGE,2.0,537405
2026-06-23,2026-06-23T20:00:00Z,England,Ghana,,,FIFA World Cup,,USA/Mexico/Canada,True,TIMED,GROUP_STAGE,2.0,537411
2026-06-23,2026-06-23T23:00:00Z,Panama,Croatia,,,FIFA World Cup,,USA/Mexico/Canada,True,TIMED,GROUP_STAGE,2.0,537412
2026-06-24,2026-06-24T22:00:00Z,Morocco,Haiti,,,FIFA World Cup,,USA/Mexico/Canada,True,TIMED,GROUP_STAGE,3.0,537344
2026-06-24,2026-06-24T19:00:00Z,Bosnia-Herzegovina,Qatar,,,FIFA World Cup,,USA/Mexico/Canada,True,TIMED,GROUP_STAGE,3.0,537338
2026-06-24,2026-06-24T22:00:00Z,Scotland,Brazil,,,FIFA World Cup,,USA/Mexico/Canada,True,TIMED,GROUP_STAGE,3.0,537343
2026-06-24,2026-06-24T02:00:00Z,Colombia,Congo DR,,,FIFA World Cup,,USA/Mexico/Canada,True,TIMED,GROUP_STAGE,2.0,537406
2026-06-24,2026-06-24T19:00:00Z,Switzerland,Canada,,,FIFA World Cup,,USA/Mexico/Canada,True,TIMED,GROUP_STAGE,3.0,537337
2026-06-25,2026-06-25T01:00:00Z,Czechia,Mexico,,,FIFA World Cup,,USA/Mexico/Canada,True,TIMED,GROUP_STAGE,3.0,537331
